split,method,rank,queries,query_fraction,anchors,interpolation_one_norm,surface_rmse,mean_infinity_error,mean_grid_regret,maximum_grid_regret,exact_decision_fraction,minimum_regret_bound_slack,regret_bound_covered
confirmation,salience_residual,16,16,0.0625,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125,5.043022957752281,0.0033936022123303333,0.007256155727025607,0.0,0.0,1.0,0.0021832547333667796,1.0
confirmation,uniform_residual,16,16,0.0625,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125,5.043022957752281,0.0033936022123303333,0.007256155727025607,0.0,0.0,1.0,0.0021832547333667796,1.0
confirmation,random_residual,16,16,0.0625,17 39 59 74 92 103 120 143 153 160 164 192 212 216 222 227,134.08658095926202,0.0054297820296324885,0.01475002077189922,0.0,0.0,1.0,0.005904236554814091,1.0
confirmation,salience_raw,16,16,0.0625,85 246 197 249 215 218 206 227 253 118 170 87 182 223 187 126,5.661272093874886,0.005883139466795808,0.008238599771570671,0.0,0.0,1.0,0.0015849994325949357,1.0
confirmation,anchor_gated_residual,24,24,0.09375,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253,0.0,0.0060950702110953315,0.011300639230145161,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,24,24,0.09375,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253,9.244691030291818,0.003341385468199263,0.005500318668809422,0.0,0.0,1.0,1.3717328254170269e-05,1.0
confirmation,uniform_residual,24,24,0.09375,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253,9.244691030291818,0.003341385468199263,0.005500318668809422,0.0,0.0,1.0,1.3717328254170269e-05,1.0
confirmation,random_residual,24,24,0.09375,8 17 33 39 59 74 79 80 89 92 103 120 143 153 160 164 192 210 212 213 216 222 227 246,735.180894316871,0.026235374012625788,0.06231709899567937,0.038436732662107585,0.20499590753124064,0.8125,8.125383830148714e-05,1.0
confirmation,salience_raw,24,24,0.09375,85 246 197 249 215 218 206 227 253 118 170 87 182 223 187 126 150 221 11 190 175 91 251 235,9.160341513583493,0.004297457893142644,0.008961807825147747,0.0,0.0,1.0,3.2597467125583535e-07,1.0
confirmation,anchor_gated_residual,32,32,0.125,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253 231 102 95 110 227 178 89 100,0.0,0.0060950702110953315,0.011300639230145161,0.0,0.0,1.0,4.440892098500626e-16,1.0
confirmation,salience_residual,32,32,0.125,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253 231 102 95 110 227 178 89 100,8.108613537598895,0.0031107853469632576,0.005199820185117814,0.0,0.0,1.0,9.992007221626409e-16,1.0
confirmation,uniform_residual,32,32,0.125,83 211 246 23 78 215 190 234 206 187 223 251 151 182 87 125 249 147 103 91 174 219 171 253 231 102 95 110 227 178 89 100,8.108613537598895,0.0031107853469632576,0.005199820185117814,0.0,0.0,1.0,9.992007221626409e-16,1.0
confirmation,random_residual,32,32,0.125,8 17 24 33 39 51 59 74 79 80 89 92 93 103 110 120 132 143 153 160 164 172 186 192 207 210 212 213 216 222 227 246,150.56975481798065,0.0049652079463714804,0.007831305859715837,0.0,0.0,1.0,2.4424906541753444e-15,1.0
confirmation,salience_raw,32,32,0.125,85 246 197 249 215 218 206 227 253 118 170 87 182 223 187 126 150 221 11 190 175 91 251 235 231 84 209 105 247 138 121 186,7.901307253461618,0.0030698184872463936,0.004656283978829719,0.0,0.0,1.0,1.7763568394002505e-15,1.0
